Interessado;UF;Tipo Interesse;Tipo Operação;Finalidade;Tipo Credor;Credor;Moeda;Valor;N Processo;Status;Data;Analisado
Abdon Batista;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;17944.000694/2013-51;Deferido;09/08/2013;STN
Abdon Batista;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 300.000,00 ;19406.000039/2009-39;Deferido;29/06/2009;STN
Abdon Batista;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 3.500.000,00 ;17944.101898/2020-37;Encaminhado à PGFN com manifestação técnica favorável;01/06/2020;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.700.000,00 ;17944.001391/2011-93;Deferido;10/11/2011;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 628.370,00 ;19406.000041/2008-27;Deferido;11/03/2008;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.800.000,00 ;19406.000119/2006-41;Deferido;30/06/2006;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 2.000.000,00 ;17944.000664/2015-14;Deferido;03/12/2015;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 2.000.000,00 ;PVL02.000651/2018-17;Deferido (PVL-IF);22/05/2018;Instituição Financeira
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 3.000.000,00 ;17944.102382/2020-18;Encaminhado à PGFN com manifestação técnica favorável;13/07/2020;STN
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 5.000.000,00 ;17944.100844/2022-16;Encaminhado à PGFN com manifestação técnica favorável;12/07/2022;STN
Abre Campo;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 650.000,00 ;17944.000124/2014-41;Deferido;05/06/2014;STN
Abre Campo;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 518.100,00 ;17944.001603/2008-37;Arquivado;15/09/2008;STN
Abre Campo;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 800.000,00 ;17944.000054/2016-93;Arquivado por decurso de prazo;10/10/2016;STN
Abre Campo;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.800.000,00 ;PVL02.002229/2017-15;Deferido (PVL-IF);29/11/2017;Instituição Financeira
Acaiaca;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 280.000,00 ;17944.000250/2012-34;Arquivado por decurso de prazo;25/10/2012;STN
Acaiaca;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 600.000,00 ;17944.000251/2012-89;Arquivado por decurso de prazo;25/10/2012;STN
Acaiaca;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 314.150,00 ;17944.000805/2011-67;Deferido;15/08/2011;STN
Acaiaca;MG;Município;Operação Contratual Interna;Educação;Outras;Pessoa Jurídica;Real; R$ 68.007,57 ;PVL02.002084/2017-52;Devolvido;18/12/2017;STN
Acaiaca;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.000.000,00 ;17944.103239/2017-30;Arquivado por decurso de prazo;16/08/2018;STN
Acaiaca;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.000.000,00 ;PVL02.002970/2018-67;Deferido (PVL-IF);30/01/2019;Instituição Financeira
Acaiaca;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 500.000,00 ;PVL02.002341/2021-32;Deferido (PVL-IF);27/09/2021;Instituição Financeira
Acaiaca;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 500.000,00 ;PVL02.002581/2021-37;Deferido (PVL-IF);27/09/2021;Instituição Financeira
Açailândia;MA;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 555.765,00 ;17944.000342/2008-38;Arquivado;03/04/2008;STN
Açailândia;MA;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 5.300.400,00 ;17944.001847/2011-15;Arquivado por decurso de prazo;06/02/2013;STN
Acari;RN;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 366.840,00 ;17944.000855/2012-25;Deferido;28/06/2012;STN
Acari;RN;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 300.000,00 ;17944.000860/2008-51;Arquivado;29/08/2008;STN
Acauã;PI;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 417.227,00 ;PVL02.005385/2022-03;Deferido (PVL-IF);09/09/2022;Instituição Financeira
Aceguá;RS;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 456.000,00 ;17944.000506/2008-27;Arquivado;31/03/2009;STN
Acopiara;CE;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 923.000,00 ;00000.000000/0022-77;Devolvido;22/09/2009;STN
Acopiara;CE;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 881.720,00 ;17944.000747/2012-52;Deferido;18/06/2012;STN
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 60.759.000,00 ;17944.000420/2008-02;Deferido;28/03/2008;STN
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 9.000.000,00 ;17944.000452/2008-08;Deferido;28/03/2008;STN
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 22.191.848,71 ;17944.000513/2004-03;Deferido;02/06/2004;STN
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 240.662.000,00 ;17944.000610/2013-89;Encaminhado à PGFN com manifestação técnica favorável;28/07/2014;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 136.886.666,00 ;17944.000687/2005-49;Deferido;03/06/2005;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 850.000,00 ;17944.000688/2005-93;Deferido;03/06/2005;STN
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA; R$ 150.000.000,00 ;17944.000944/2014-33;Encaminhado à PGFN com manifestação técnica favorável;29/02/2016;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real; R$ 240.662.000,00 ;17944.001402/2012-16;Arquivado a pedido;17/07/2013;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 55.000.000,00 ;17944.001271/2016-09;Arquivado por decurso de prazo;09/06/2017;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 60.000.000,00 ;17944.000633/2017-17;Deferido;14/12/2017;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 95.000.000,00 ;17944.000634/2017-61;Deferido;29/12/2017;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 60.000.000,00 ;17944.103999/2018-28;Deferido;24/05/2018;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 95.000.000,00 ;17944.104000/2018-68;Deferido;24/05/2018;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 100.000.000,00 ;17944.101586/2021-12;Encaminhado à PGFN com manifestação técnica favorável;26/11/2021;STN
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 32.000.000,00 ;17944.102832/2022-26;Encaminhado à PGFN com manifestação técnica favorável;30/08/2022;STN
Açu;RN;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 25.000.000,00 ;17944.102430/2022-21;Em retificação pelo interessado;12/09/2022;STN
Açucena;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 448.470,00 ;17944.000201/2008-15;Deferido;27/02/2008;STN
Açucena;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.000.000,00 ;17944.000427/2016-26;Deferido;18/04/2016;STN
Açucena;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.000.000,00 ;PVL02.001422/2021-15;Deferido (PVL-IF);11/11/2021;Instituição Financeira
Adamantina;SP;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 253.500,00 ;17944.001034/2008-20;Arquivado;12/03/2009;STN
Adamantina;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real; R$ 2.000.000,00 ;PVL02.001387/2018-39;Deferido (PVL-IF);10/10/2018;Instituição Financeira
Adamantina;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real; R$ 5.000.000,00 ;PVL02.002126/2021-31;Deferido (PVL-IF);16/12/2021;Instituição Financeira
Adamantina;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real; R$ 1.200.000,00 ;PVL02.002869/2021-10;Deferido (PVL-IF);20/01/2022;Instituição Financeira
Adolfo;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 2.000.000,00 ;PVL02.007574/2022-11;Deferido (PVL-IF);26/08/2022;Instituição Financeira
Adrianópolis;PR;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 203.072,00 ;19406.000083/2008-68;Arquivado por decurso de prazo;15/05/2008;STN
Adrianópolis;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real; R$ 550.000,00 ;19406.000301/2008-64;Deferido;23/05/2008;STN
Adrianópolis;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real; R$ 4.735.000,00 ;PVL02.005563/2021-15;Deferido (PVL-IF);13/07/2022;Instituição Financeira
Adustina;BA;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 1.300.000,00 ;PVL02.009406/2019-56;Deferido (PVL-IF);13/03/2020;Instituição Financeira
Afogados da Ingazeira;PE;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 24.000.000,00 ;17944.103570/2022-17;Deferido;13/09/2022;STN
Afrânio;PE;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 8.000.000,00 ;17944.101673/2022-42;Arquivado a pedido;27/06/2022;STN
Afrânio;PE;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 5.000.000,00 ;PVL02.006561/2022-16;Deferido (PVL-IF);29/06/2022;Instituição Financeira
Afrânio;PE;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 15.000.000,00 ;17944.102866/2022-11;Deferido;28/07/2022;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;17944.000371/2014-48;Deferido;03/04/2014;STN
Agrolândia;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 300.000,00 ;17944.000691/2008-50;Deferido;03/06/2008;STN
Agrolândia;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 259.250,00 ;17944.001765/2014-13;Deferido;03/12/2014;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.900.000,00 ;17944.001861/2011-19;Deferido;30/11/2011;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 200.000,00 ;19406.000162/2003-64;Deferido;07/10/2003;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 300.000,00 ;19406.000503/2007-25;Deferido;19/12/2007;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;17944.000591/2017-14;Deferido;04/08/2017;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;PVL02.001303/2018-67;Deferido (PVL-IF);03/07/2018;Instituição Financeira
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;PVL02.008700/2019-41;Deferido (PVL-IF);23/12/2019;Instituição Financeira
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 10.000.000,00 ;17944.104273/2021-16;Deferido;14/12/2021;STN
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 3.200.000,00 ;17944.101394/2022-89;Em retificação pelo interessado;19/08/2022;STN
Agronômica;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 321.000,00 ;17944.000199/2011-80;Deferido;09/03/2011;STN
Agronômica;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;17944.001477/2013-88;Deferido;02/04/2014;STN
Agronômica;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 3.500.000,00 ;PVL02.003200/2019-12;Deferido (PVL-IF);13/09/2019;Instituição Financeira
Agronômica;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.500.000,00 ;PVL02.000557/2020-82;Deferido (PVL-IF);28/07/2020;Instituição Financeira
Água Azul do Norte;PA;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 540.200,00 ;17944.000252/2008-47;Arquivado;16/04/2008;STN
Água Boa;MT;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 314.750,00 ;17944.000802/2008-28;Arquivado;13/03/2009;STN
Água Boa;MT;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 336.150,00 ;17944.001051/2009-48;Arquivado;21/01/2011;STN
Água Boa;MT;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 11.000.000,00 ;17944.101775/2022-68;Deferido;10/06/2022;STN
Água Branca;PI;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 335.000,00 ;17944.001823/2011-66;Arquivado por decurso de prazo;21/01/2013;STN
Água Branca;PI;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 4.749.000,00 ;PVL02.007703/2019-67;Deferido (PVL-IF);10/03/2020;Instituição Financeira
Água Comprida;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 145.500,00 ;17944.000118/2009-27;Arquivado;13/03/2009;STN
Água Comprida;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 126.750,00 ;17944.001152/2008-38;Arquivado;23/05/2008;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 550.000,00 ;00000.000000/0065-67;Devolvido;22/02/2011;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 450.000,00 ;00000.000000/0065-68;Devolvido;22/02/2011;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 450.000,00 ;17944.000278/2011-91;Deferido;21/06/2011;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 400.000,00 ;19406.000005/2005-11;Deferido;13/04/2005;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 400.000,00 ;19406.000315/2004-54;Arquivado;16/07/2004;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 1.000.000,00 ;17944.000978/2015-17;Deferido;15/01/2016;STN
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 3.500.000,00 ;PVL02.001281/2018-35;Deferido (PVL-IF);04/07/2018;Instituição Financeira
Água Doce;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 5.000.000,00 ;17944.104568/2019-60;Encaminhado à PGFN com manifestação técnica favorável;18/05/2020;STN
Água Santa;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real; R$ 350.000,00 ;17944.000036/2012-88;Deferido;13/03/2012;STN
Água Santa;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real; R$ 700.000,00 ;17944.001891/2014-78;Deferido;06/01/2015;STN
Água Santa;RS;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 172.700,00 ;19406.000387/2008-25;Deferido;20/05/2008;STN
Água Santa;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real; R$ 250.000,00 ;19406.000504/2006-99;Deferido;23/09/2006;STN
Aguaí;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real; R$ 4.500.000,00 ;PVL02.000753/2018-32;Deferido (PVL-IF);21/05/2018;Instituição Financeira
Aguaí;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 12.000.000,00 ;17944.102628/2020-43;Deferido;29/12/2020;STN
Aguaí;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 4.627.119,00 ;PVL02.000884/2021-15;Deferido (PVL-IF);19/05/2021;Instituição Financeira
Aguanil;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 960.000,00 ;PVL02.002001/2021-10;Deferido (PVL-IF);31/08/2021;Instituição Financeira
Águas de Chapecó;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 680.000,00 ;17944.000429/2014-53;Deferido;17/04/2014;STN
Águas de Chapecó;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 500.000,00 ;19406.000395/2008-71;Deferido;22/04/2008;STN
Águas de Lindóia;SP;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 400.700,00 ;17944.001614/2008-17;Arquivado;09/07/2008;STN
Águas de Lindóia;SP;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 6.060.000,00 ;17944.103711/2019-04;Deferido;23/01/2020;STN
Águas Formosas;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 434.975,00 ;17944.000181/2008-82;Arquivado;02/05/2008;STN
Águas Frias;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 315.000,00 ;19406.000009/2005-07;Deferido;31/05/2005;STN
Águas Frias;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 500.000,00 ;19406.000167/2007-11;Deferido;03/07/2007;STN
Águas Frias;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 199.000,00 ;19406.000428/2009-64;Deferido;29/06/2010;STN
Águas Frias;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real; R$ 2.000.000,00 ;PVL02.001004/2018-22;Deferido (PVL-IF);29/05/2018;Instituição Financeira
Águas Lindas de Goiás;GO;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 5.000.000,00 ;PVL02.001317/2020-03;Deferido (PVL-IF);19/06/2020;Instituição Financeira
Águas Lindas de Goiás;GO;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 10.000.000,00 ;17944.102835/2020-06;Deferido;02/09/2020;STN
Águas Vermelhas;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.500.000,00 ;17944.000543/2014-83;Arquivado por decurso de prazo;27/10/2014;STN
Águas Vermelhas;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 1.299.621,86 ;17944.002054/2011-13;Arquivado por decurso de prazo;11/07/2012;STN
Agudo;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real; R$ 1.000.000,00 ;17944.001654/2010-83;Deferido;13/06/2012;STN
Agudo;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real; R$ 3.600.000,00 ;PVL02.002784/2018-28;Deferido (PVL-IF);17/03/2020;Instituição Financeira
